h ,total,data
187,7.882898627,2021-02-20
188,6.817954538,2021-02-22
189,7.340813746,2021-02-26
190,7.797049082,2021-03-04
191,6.398216264,2021-03-06
192,7.957380978,2021-03-10
193,7.790406774,2021-03-16
194,7.62903895,2021-03-22
195,7.146955293,2021-03-28
196,7.241333756,2021-04-03
197,7.181623548,2021-04-09
198,6.141326807,2021-04-11
199,7.000141158,2021-04-15
200,6.705713053,2021-04-21
201,5.859829051,2021-04-23
202,7.247901724,2021-04-27
203,7.407828161,2021-05-03
204,7.524546701,2021-05-05
205,7.137927961,2021-05-09
206,7.200568548,2021-05-15
207,6.416502663,2021-05-17
208,7.207322997,2021-05-27
209,6.357188847,2021-05-29
210,7.473186424,2021-06-02
211,7.485476704,2021-06-08
212,6.453294702,2021-06-10
213,7.576147266,2021-06-14
214,7.490361389,2021-06-20
215,7.634960049,2021-06-22
216,7.233039383,2021-06-26
217,6.636091913,2021-07-02
218,6.089780948,2021-07-04
219,6.780990936,2021-07-08
220,6.785578315,2021-07-14
221,7.393564995,2021-07-20
222,7.6072586,2021-07-26
223,7.489284698,2021-07-28
224,7.520614738,2021-08-01
225,6.248734606,2021-08-07
226,6.699369639,2021-08-13
227,6.275488998,2021-08-25
228,6.485951043,2021-08-31
229,6.433803587,2021-09-02
230,6.7679566,2021-09-06
231,7.152995479,2021-09-12
232,7.037167905,2021-09-18
233,6.953761627,2021-09-24
234,6.528591381,2021-09-26
235,7.050608304,2021-09-30
236,7.290719379,2021-10-06
237,7.538470081,2021-10-12
238,7.647203058,2021-10-18
239,6.929104814,2021-10-20
240,7.647959825,2021-10-24
241,7.336355579,2021-10-30
242,7.905241282,2021-11-01
243,6.970608002,2021-11-13
244,8.103601442,2021-11-17
245,7.731504922,2021-11-23
246,8.091517096,2021-11-25
247,8.052495883,2021-11-29
248,8.025999851,2021-12-05
249,8.172879732,2021-12-07
250,8.258124606,2021-12-11
251,6.715328855,2021-12-17
252,6.839137209,2021-12-19
253,7.009885286,2021-12-23
254,6.438180902,2021-12-31
255,6.935944891,2022-01-04
256,6.733245172,2022-01-12
257,6.316554752,2022-01-16
258,6.790230751,2022-01-24
259,7.043201579,2022-01-28
260,7.003409081,2022-02-09
261,6.561891333,2022-02-17
262,7.064317351,2022-02-21
263,6.581158384,2022-03-01
264,6.584057707,2022-03-05
