Key*,total,data,,,,
172,2.25,2020-05-27,,,,
173,7.44,2020-06-01,,,,
174,8.63,2020-06-08,,,,
175,3.66,2020-06-25,,,,
176,7.41,2020-07-01,,,,
177,6.44,2020-07-02,,,,
178,6.39,2020-07-07,,,,
179,6.56,2020-07-13,,,,
180,6.61,2020-07-14,,,,
181,6.64,2020-07-31,,,,
182,2.39,2020-08-06,,,,
183,6.41,2020-08-07,,,,
184,8.55,2020-08-12,,,,
188,8.59,2020-08-31,,,,
189,8.63,2020-09-11,,,,
190,8.53,2020-09-12,,,,
192,8.7,2020-09-23,,,,
193,8.66,2020-09-24,,,,
195,2.49,2020-10-06,,,,
196,8.69,2020-10-11,,,,
198,8.66,2020-10-29,,,,
199,8.61,2020-10-30,,,,
201,8.6,2020-11-23,,,,
202,2.47,2020-12-05,,,,
204,8.47,2020-12-16,,,,
205,8.45,2020-12-17,,,,
206,8.4,2020-12-22,,,,
207,8.34,2020-12-28,,,,
208,8.34,2020-12-29,,,,
209,6.56,2021-01-03,,,,
210,7.65,2021-01-09,,,,
211,7.91,2021-01-15,,,,
212,7.74,2021-01-21,,,,
213,7.71,2021-01-22,,,,
214,7.55,2021-01-27,,,,
215,7.38,2021-02-02,,,,
216,6.53,2021-02-03,,,,
217,6.66,2021-02-26,,,,
218,6.03,2021-03-16,,,,
219,5.59,2021-03-22,,,,
220,5.53,2021-03-23,,,,
221,6.46,2021-04-03,,,,
222,4.42,2021-04-15,,,,
223,4.36,2021-04-16,,,,
224,4.15,2021-04-21,,,,
225,3.93,2021-04-27,,,,
226,3.88,2021-04-28,,,,
227,6.41,2021-05-03,,,,
228,7.79,2021-05-09,,,,
229,2.75,2021-05-27,,,,
230,6.4,2021-06-08,,,,
231,8.59,2021-07-09,,,,
232,2.06,2021-07-14,,,,
233,3.38,2021-07-20,,,,
234,3.63,2021-07-21,,,,
235,8.1,2021-08-01,,,,
236,7.18,2021-08-02,,,,
237,2.04,2021-08-07,,,,
238,6.33,2021-08-13,,,,
239,6.33,2021-08-14,,,,
240,7.65,2021-08-25,,,,
