Key*,total,data,,,,
165,137.21,2020-05-02,,,,
166,167.77,2020-05-03,,,,
167,164.8,2020-05-08,,,,
168,135.42,2020-05-14,,,,
169,200.04,2020-05-15,,,,
170,107.8,2020-05-20,,,,
171,103.37,2020-05-26,,,,
172,153.74,2020-05-27,,,,
173,112.33,2020-06-01,,,,
174,163.97,2020-06-08,,,,
175,127.61,2020-06-25,,,,
176,138.84,2020-07-01,,,,
177,159.02,2020-07-02,,,,
178,132.16,2020-07-07,,,,
179,135.85,2020-07-13,,,,
180,175.73,2020-07-14,,,,
181,169.05,2020-07-31,,,,
182,171.95,2020-08-06,,,,
183,171.5,2020-08-07,,,,
184,173.82,2020-08-12,,,,
185,174.21,2020-08-18,,,,
186,178.99,2020-08-19,,,,
187,169.01,2020-08-24,,,,
188,181.21,2020-08-31,,,,
189,171.05,2020-09-11,,,,
190,177.79,2020-09-12,,,,
191,167.68,2020-09-17,,,,
192,172.13,2020-09-23,,,,
193,176.9,2020-09-24,,,,
194,173.29,2020-09-29,,,,
195,170.44,2020-10-06,,,,
196,172.11,2020-10-11,,,,
197,177.05,2020-10-23,,,,
198,176.73,2020-10-29,,,,
199,167.83,2020-10-30,,,,
200,172.35,2020-11-11,,,,
201,174,2020-11-23,,,,
202,178.25,2020-12-05,,,,
203,176.55,2020-12-10,,,,
204,182.25,2020-12-16,,,,
205,182.77,2020-12-17,,,,
206,183.85,2020-12-22,,,,
207,183.34,2020-12-28,,,,
208,167.06,2020-12-29,,,,
209,184.26,2021-01-03,,,,
210,185.88,2021-01-09,,,,
211,182.08,2021-01-15,,,,
212,189.37,2021-01-21,,,,
213,168.93,2021-01-22,,,,
214,189.65,2021-01-27,,,,
215,198.94,2021-02-02,,,,
216,185.53,2021-02-03,,,,
217,153.95,2021-02-26,,,,
218,196.4,2021-03-16,,,,
219,217.2,2021-03-22,,,,
220,214.99,2021-03-23,,,,
221,178.89,2021-04-03,,,,
222,170.87,2021-04-15,,,,
223,152.91,2021-04-16,,,,
224,117.97,2021-04-21,,,,
225,164.98,2021-04-27,,,,
226,178.79,2021-04-28,,,,
227,172.88,2021-05-03,,,,
228,163.02,2021-05-09,,,,
229,91.87,2021-05-27,,,,
230,110.54,2021-06-08,,,,
231,132.6,2021-07-09,,,,
232,121.27,2021-07-14,,,,
233,142.97,2021-07-20,,,,
234,154.07,2021-07-21,,,,
236,160.52,2021-08-01,,,,
237,163.33,2021-08-02,,,,
238,128.8,2021-08-07,,,,
239,139.07,2021-08-13,,,,
240,161.9,2021-08-14,,,,
241,150.48,2021-08-25,,,,
242,170.04,2021-08-26,,,,
243,155.6,2021-08-31,,,,
245,164.37,2021-09-06,,,,
246,179.16,2021-09-07,,,,
247,173.31,2021-09-12,,,,
248,172.77,2021-09-18,,,,
249,176.17,2021-09-19,,,,
250,169.78,2021-09-24,,,,
251,165.72,2021-09-30,,,,
252,180.36,2021-10-01,,,,
253,172.56,2021-10-06,,,,
254,173.79,2021-10-12,,,,
255,170.32,2021-10-13,,,,
256,172.55,2021-10-18,,,,
257,176.56,2021-10-24,,,,
258,170.1,2021-10-25,,,,
259,176.49,2021-10-30,,,,
260,174.68,2021-11-17,,,,
261,171.41,2021-11-18,,,,
262,175.27,2021-11-23,,,,
263,170.95,2021-11-29,,,,
264,176.92,2021-11-30,,,,
265,178.26,2021-12-05,,,,
266,178.75,2021-12-11,,,,
267,178.41,2021-12-12,,,,
